Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/09 10:28:57 AM GMT+5:30,18,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,nan,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,2,No,3,4,Competitive prices,User interface of app,661007
2023/06/07 1:00:08 PM GMT+5:30,5,Male,Few times a month,Beauty and Personal Care;others,Sometimes,Few times a month,others,First page,1,No,Rarely,High shipping costs,Rarely,No,Heavily,Sometimes,3,Sometimes,5,1,All the above,Add more familiar brands to the list,887765
2023/06/04 6:31:41 PM GMT+5:30,53,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,nan,First page,5,Maybe,Always,High shipping costs,Often,Yes,Rarely,Sometimes,1,Yes,3,5,Quick delivery,I don't have any problem with Amazon,747556
2023/06/06 7:17:17 PM GMT+5:30,65,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,1,No,Always,Found a better price elsewhere,Sometimes,Yes,Rarely,No,2,No,5,1,User-friendly website/app interface,UI,132409
2023/06/06 6:38:03 PM GMT+5:30,44,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a week,nan,Multiple pages,1,Maybe,Never,others,Often,Yes,Rarely,Yes,3,No,4,2,User-friendly website/app interface,Irrelevant product suggestions,304644
2023/06/07 1:00:08 PM GMT+5:30,28,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,2,Yes,Often,others,Never,No,Rarely,No,3,No,4,4,.,Irrelevant product suggestions,736034
2023/06/04 8:54:36 PM GMT+5:30,42,Prefer not to say,Multiple times a week,Home and Kitchen,No,Few times a week,nan,Multiple pages,4,Yes,Never,Changed my mind or no longer need the item,Never,No,Heavily,Sometimes,5,Sometimes,2,5,Product recommendations,Add more familiar brands to the list,942922
2023/06/09 9:37:44 AM GMT+5:30,13,Others,Less than once a month,Clothing and Fashion;others,Yes,Few times a week,Filter,Multiple pages,5,Yes,Rarely,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,1,5,All the above,Customer service responsiveness,413518
2023/06/05 2:46:25 PM GMT+5:30,18,Female,Once a week,Home and Kitchen,Yes,Rarely,Keyword,First page,3,Yes,Always,Found a better price elsewhere,Often,Yes,Never,No,4,Yes,5,4,Product recommendations,Nil,898242
2023/06/06 6:43:02 PM GMT+5:30,26,Prefer not to say,Less than once a month,Beauty and Personal Care,Sometimes,Few times a week,nan,Multiple pages,5,No,Always,others,Always,No,Rarely,Sometimes,5,Yes,5,2,Customer service ,Irrelevant product suggestions,774612
2023/06/12 3:51:31 PM GMT+5:30,26,Others,Less than once a month,Beauty and Personal Care,Sometimes,Few times a month,nan,Multiple pages,3,Yes,Never,Found a better price elsewhere,Rarely,Yes,Rarely,No,2,Yes,2,1,Product recommendations,Shipping speed and reliability,587898
2023/06/06 10:36:14 AM GMT+5:30,35,Female,Few times a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,No,Never,Sometimes,3,No,5,3,Product recommendations,.,535575
2023/06/05 4:50:44 PM GMT+5:30,25,Male,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,categories,First page,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Never,Sometimes,3,No,2,5,Quick delivery,Product quality and accuracy,795669
2023/06/11 11:25:48 PM GMT+5:30,34,Others,Less than once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,2,No,Often,Found a better price elsewhere,Often,Yes,Occasionally,Yes,5,Yes,3,2,Competitive prices,Add more familiar brands to the list,147847
2023/06/07 6:18:37 PM GMT+5:30,61,Others,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,Keyword,First page,3,Maybe,Often,High shipping costs,Always,No,Never,Yes,2,Yes,3,1,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,722514
2023/06/05 8:49:12 PM GMT+5:30,57,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,others,Multiple pages,5,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Rarely,No,3,Sometimes,5,5,Quick delivery,No problems with Amazon,272602
2023/06/07 9:19:32 PM GMT+5:30,5,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,3,Yes,Often,others,Never,No,Moderately,Sometimes,2,No,4,2,.,Nothing,272947
2023/06/05 2:10:33 PM GMT+5:30,8,Prefer not to say,Once a month,Beauty and Personal Care;others,Yes,Few times a week,others,First page,3,Yes,Often,Found a better price elsewhere,Rarely,No,Rarely,Sometimes,5,Yes,4,5,Customer service ,Nothing,766122
2023/06/08 3:32:42 AM GMT+5:30,9,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a week,categories,First page,3,No,Always,others,Often,No,Moderately,Yes,3,No,1,3,User-friendly website/app interface,I don't have any problem with Amazon,303107
2023/06/08 6:39:59 PM GMT+5:30,5,Male,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,nan,Multiple pages,4,Maybe,Often,High shipping costs,Rarely,Yes,Moderately,Sometimes,5,Yes,5,4,All the above,better app interface and lower shipping charges,650181
2023/06/09 2:40:21 PM GMT+5:30,36,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a month,others,First page,1,Maybe,Often,Found a better price elsewhere,Never,No,Rarely,No,2,Sometimes,3,2,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,786464
2023/06/06 8:56:17 PM GMT+5:30,29,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,2,No,Often,Found a better price elsewhere,Rarely,No,Never,Sometimes,2,No,5,3,User-friendly website/app interface,Add more familiar brands to the list,125622
2023/06/07 6:20:00 PM GMT+5:30,56,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,3,Yes,2,1,Wide product selection,Shipping speed and reliability,576653
2023/06/09 2:43:37 PM GMT+5:30,47,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Filter,First page,1,Maybe,Never,others,Rarely,No,Moderately,Yes,5,Yes,1,1,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,447974
2023/06/09 10:31:15 AM GMT+5:30,13,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,5,Yes,Always,High shipping costs,Rarely,Yes,Never,Sometimes,2,No,1,1,Product recommendations,User interface ,466342
2023/06/04 10:24:47 PM GMT+5:30,60,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,others,Multiple pages,5,Yes,Always,others,Often,No,Rarely,Yes,2,Sometimes,4,4,Wide product selection,User interface of app,749134
2023/06/08 5:14:30 PM GMT+5:30,44,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,4,No,Rarely,Found a better price elsewhere,Often,Yes,Occasionally,Yes,1,Yes,1,5,Customer service ,Reducing packaging waste,705390
2023/06/08 3:25:32 AM GMT+5:30,34,Male,Once a month,Beauty and Personal Care,Yes,Few times a month,Filter,Multiple pages,2,No,Often,Found a better price elsewhere,Rarely,No,Heavily,No,1,No,4,1,Wide product selection,User interface ,799830
2023/06/08 10:54:00 AM GMT+5:30,49,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,others,Multiple pages,5,Yes,Never,High shipping costs,Sometimes,Yes,Occasionally,No,4,No,3,4,All the above,User interface ,529402
2023/06/04 7:45:33 PM GMT+5:30,53,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Keyword,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,5,Yes,3,5,Product recommendations,Reducing packaging waste,625617
2023/06/11 10:58:52 PM GMT+5:30,30,Male,Less than once a month,Beauty and Personal Care;others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Always,No,Never,No,2,Yes,5,2,.,I don't have any problem with Amazon,954510
2023/06/11 11:04:17 PM GMT+5:30,6,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a week,Filter,First page,3,Yes,Never,others,Rarely,No,Occasionally,Sometimes,3,Yes,3,4,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,948066
2023/06/05 2:24:22 PM GMT+5:30,31,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a week,Keyword,Multiple pages,2,Yes,Never,High shipping costs,Never,No,Moderately,Yes,3,Yes,4,3,.,Quality of product is very poor according to the big offers,114055
2023/06/08 5:20:43 PM GMT+5:30,29,Prefer not to say,Once a week,others,Sometimes,Rarely,others,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Never,Yes,Heavily,No,4,Yes,1,3,Customer service,Product quality and accuracy,565263
2023/06/04 8:49:49 PM GMT+5:30,6,Others,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,3,No,Never,Found a better price elsewhere,Often,Yes,Rarely,Yes,3,Sometimes,1,1,Wide product selection,Reducing packaging waste,795894
2023/06/10 10:49:42 AM GMT+5:30,3,Others,Once a week,Beauty and Personal Care,No,Few times a week,categories,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,No,4,Yes,4,2,Wide product selection,No problems with Amazon,200984
2023/06/09 2:23:45 PM GMT+5:30,45,Female,Once a month,Groceries and Gourmet Food,Sometimes,Multiple times a day,Filter,First page,3,Yes,Sometimes,others,Always,No,Heavily,Yes,1,Yes,4,2,Quick delivery,Quality of product is very poor according to the big offers,615077
2023/06/06 6:38:45 PM GMT+5:30,46,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Rarely,nan,First page,5,Maybe,Rarely,High shipping costs,Sometimes,No,Occasionally,No,2,Yes,3,4,Customer service ,User interface of app,113956
2023/06/07 6:29:14 PM GMT+5:30,6,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,1,Maybe,Rarely,others,Never,Yes,Never,Sometimes,2,No,5,4,All the above,Customer service responsiveness,884340
2023/06/05 11:54:52 AM GMT+5:30,49,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,5,No,3,4,Customer service ,Reducing packaging waste,527992
2023/06/09 9:35:57 AM GMT+5:30,19,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Multiple times a day,Filter,Multiple pages,4,No,Rarely,others,Sometimes,Yes,Occasionally,Yes,2,Sometimes,5,1,User-friendly website/app interface,User interface of app,224376
2023/06/05 11:54:52 AM GMT+5:30,41,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,First page,2,No,Never,others,Rarely,No,Never,Yes,2,Sometimes,4,3,Customer service,better app interface and lower shipping charges,837385
2023/06/11 10:52:06 PM GMT+5:30,62,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Sometimes,3,Sometimes,1,2,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,428532
2023/06/06 6:39:26 PM GMT+5:30,34,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,others,Multiple pages,2,Maybe,Often,others,Sometimes,No,Never,No,1,Sometimes,1,4,Customer service,UI,758076
2023/06/07 2:23:02 PM GMT+5:30,51,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,Keyword,First page,3,No,Never,others,Often,Yes,Occasionally,Sometimes,3,No,3,5,Customer service,.,433890
2023/06/06 6:44:04 PM GMT+5:30,39,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,1,No,Always,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,No,3,Yes,4,5,Customer service ,.,844312
2023/06/07 9:24:31 AM GMT+5:30,45,Prefer not to say,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,nan,First page,1,No,Never,High shipping costs,Often,Yes,Moderately,Sometimes,4,Yes,5,1,Customer service ,Customer service responsiveness,202346
2023/06/05 8:07:52 PM GMT+5:30,5,Others,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,5,No,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,5,No,2,2,.,User interface ,170618
2023/06/05 12:57:05 AM GMT+5:30,11,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,Filter,First page,3,Yes,Sometimes,others,Always,No,Rarely,Sometimes,1,Yes,2,5,Quick delivery,Product quality and accuracy,511519
2023/06/08 5:25:27 PM GMT+5:30,47,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,nan,First page,2,No,Never,Changed my mind or no longer need the item,Often,No,Moderately,Sometimes,2,No,2,5,.,No problems with Amazon,582002
2023/06/07 9:23:41 PM GMT+5:30,10,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,categories,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Never,No,Rarely,Sometimes,3,Yes,3,5,Quick delivery,Irrelevant product suggestions,645696
2023/06/08 10:13:41 PM GMT+5:30,44,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,5,Maybe,Never,Found a better price elsewhere,Never,No,Heavily,Yes,4,Yes,2,1,Quick delivery,I don't have any problem with Amazon,229875
2023/06/09 9:37:15 AM GMT+5:30,42,Male,Few times a month,others,Sometimes,Multiple times a day,nan,First page,2,Yes,Rarely,High shipping costs,Sometimes,No,Moderately,No,4,Yes,5,2,Customer service ,Nil,513458
2023/06/07 1:04:07 PM GMT+5:30,18,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Multiple times a day,others,Multiple pages,2,Yes,Sometimes,others,Rarely,No,Heavily,Yes,2,Yes,3,3,All the above,User interface of app,799048
2023/06/06 10:46:31 AM GMT+5:30,43,Female,Once a month,others,Sometimes,Rarely,nan,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Rarely,No,2,Yes,5,4,Customer service,Scrolling option would be much better than going to next page,250603
2023/06/08 5:20:43 PM GMT+5:30,51,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,others,First page,2,Yes,Never,Changed my mind or no longer need the item,Often,Yes,Occasionally,Sometimes,1,Sometimes,1,3,Wide product selection,Quality of product is very poor according to the big offers,532051
2023/06/06 8:57:23 PM GMT+5:30,39,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,others,Multiple pages,4,Yes,Never,High shipping costs,Never,Yes,Occasionally,Sometimes,5,Yes,5,4,Wide product selection,Irrelevant product suggestions,684432
2023/06/06 6:40:30 PM GMT+5:30,50,Prefer not to say,Few times a month,Beauty and Personal Care;others,No,Multiple times a day,categories,First page,2,No,Never,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,4,No,5,5,User-friendly website/app interface,UI,951102
2023/06/08 5:08:27 PM GMT+5:30,53,Prefer not to say,Few times a month,Beauty and Personal Care;others,Sometimes,Few times a week,categories,Multiple pages,2,Yes,Always,High shipping costs,Never,No,Rarely,No,3,Sometimes,4,3,User-friendly website/app interface,UI,594268
2023/06/09 9:34:07 AM GMT+5:30,38,Prefer not to say,Less than once a month,Home and Kitchen,Yes,Rarely,nan,Multiple pages,4,No,Never,others,Rarely,No,Rarely,No,2,No,1,4,Customer service ,Nothing,407589
2023/06/08 5:57:34 PM GMT+5:30,62,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,Keyword,First page,5,No,Never,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,4,No,1,5,Wide product selection,Product quality and accuracy,752841
2023/06/08 7:33:15 AM GMT+5:30,7,Prefer not to say,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a week,others,Multiple pages,3,Maybe,Always,Found a better price elsewhere,Sometimes,No,Never,Yes,5,No,5,2,Product recommendations,User interface ,976681
2023/06/12 3:27:59 PM GMT+5:30,31,Male,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,others,First page,3,No,Rarely,High shipping costs,Never,No,Rarely,Yes,5,No,3,5,Competitive prices,Nil,724535
2023/06/07 1:05:41 PM GMT+5:30,25,Others,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Keyword,Multiple pages,2,No,Rarely,High shipping costs,Often,Yes,Never,Sometimes,3,Yes,4,3,Wide product selection,No problems with Amazon,549331
2023/06/11 11:05:38 PM GMT+5:30,65,Others,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,others,First page,2,Maybe,Often,others,Rarely,Yes,Heavily,Yes,1,Sometimes,5,3,Wide product selection,I don't have any problem with Amazon,648049
2023/06/08 5:40:49 PM GMT+5:30,40,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,categories,Multiple pages,4,Maybe,Always,Found a better price elsewhere,Always,No,Rarely,No,1,Sometimes,5,2,Competitive prices,Quality of product is very poor according to the big offers,450091
2023/06/11 11:24:21 PM GMT+5:30,62,Others,Once a month,Clothing and Fashion;others,Sometimes,Few times a week,others,Multiple pages,5,Yes,Often,others,Often,No,Moderately,Sometimes,2,Yes,3,3,Wide product selection,User interface ,371422
2023/06/08 5:24:42 PM GMT+5:30,18,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,2,Maybe,Always,others,Sometimes,Yes,Rarely,Yes,1,Yes,5,5,Customer service,User interface of app,193428
2023/06/11 11:08:35 PM GMT+5:30,30,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Rarely,Yes,4,Sometimes,1,1,Customer service ,Irrelevant product suggestions,338369
2023/06/07 2:33:56 PM GMT+5:30,20,Male,Few times a month,Beauty and Personal Care,No,Few times a week,categories,First page,4,Yes,Rarely,High shipping costs,Always,Yes,Heavily,Sometimes,5,No,1,2,.,User interface ,118364
2023/06/05 1:35:44 PM GMT+5:30,43,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,Keyword,Multiple pages,3,No,Rarely,others,Rarely,Yes,Occasionally,Sometimes,2,Yes,5,1,Customer service ,Shipping speed and reliability,941965
2023/06/07 2:19:05 PM GMT+5:30,13,Female,Once a week,Clothing and Fashion,No,Rarely,others,First page,1,Yes,Often,Found a better price elsewhere,Always,Yes,Never,No,4,No,2,5,Quick delivery,No problems with Amazon,776919
2023/06/09 2:23:45 PM GMT+5:30,63,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,Keyword,Multiple pages,5,Maybe,Often,High shipping costs,Sometimes,No,Rarely,Yes,4,Yes,2,5,Competitive prices,better app interface and lower shipping charges,823359
2023/06/05 4:26:25 AM GMT+5:30,35,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,others,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Always,Yes,Never,Yes,5,No,1,1,Quick delivery,Scrolling option would be much better than going to next page,304779
2023/06/06 7:54:19 PM GMT+5:30,27,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,others,Multiple pages,2,No,Often,Found a better price elsewhere,Always,Yes,Rarely,Yes,1,No,5,5,All the above,User interface of app,328133
2023/06/05 8:47:42 PM GMT+5:30,6,Others,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,2,No,Rarely,High shipping costs,Rarely,No,Occasionally,Yes,3,Yes,2,2,Product recommendations,Shipping speed and reliability,269913
2023/06/08 7:46:31 PM GMT+5:30,18,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,nan,First page,1,No,Sometimes,Found a better price elsewhere,Always,Yes,Heavily,No,2,No,4,3,All the above,Product quality and accuracy,598905
2023/06/05 8:47:42 PM GMT+5:30,38,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,others,Often,Yes,Moderately,Yes,1,Sometimes,4,5,Product recommendations,User interface ,315934
2023/06/07 6:09:58 AM GMT+5:30,10,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,High shipping costs,Often,No,Heavily,Yes,5,No,2,2,Competitive prices,Nil,304014
2023/06/11 11:16:58 PM GMT+5:30,12,Others,Once a week,Groceries and Gourmet Food,No,Rarely,Filter,First page,1,Yes,Never,High shipping costs,Rarely,Yes,Occasionally,Sometimes,2,No,5,4,All the above,.,118323
